"sexo","edad","nivel","cond_act","p3_1","p3_2","p3_5","p5","p6_1","p6_2","p6_3","p6_4","p6_5","p11","p25","p35","year","p12_info","p12_prac","p12_entr"
1,34,4,1,1,1,1,4,2,2,2,1,1,4,3,1,2020,2,1,2
2,59,4,1,1,2,2,4,2,1,1,2,2,0,0,1,2020,2,2,2
2,27,3,1,1,2,2,4,2,2,1,1,1,0,0,1,2020,2,2,2
2,47,2,7,1,1,2,4,2,2,1,2,2,4,0,1,2020,2,2,1
1,25,4,1,2,1,2,0,0,0,0,0,0,3,0,1,2020,2,1,2
2,77,2,7,1,2,2,3,2,2,1,2,2,0,0,1,2020,2,2,2
1,31,4,1,1,1,2,1,2,1,1,2,2,1,0,1,2020,1,2,2
2,70,2,7,1,1,2,3,1,2,2,2,2,4,0,1,2020,2,1,2
2,57,2,7,1,2,2,4,2,2,2,2,1,0,0,1,2020,2,2,2
1,39,4,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,63,2,1,2,1,2,0,0,0,0,0,0,3,0,1,2020,2,2,1
2,68,2,8,2,1,2,0,0,0,0,0,0,4,0,1,2020,2,2,1
1,59,2,8,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,51,2,7,1,2,2,4,2,2,2,1,2,0,0,1,2020,2,2,2
2,41,3,7,1,2,2,4,1,1,2,2,2,0,0,1,2020,2,2,2
2,51,4,1,1,2,2,5,2,2,1,2,2,0,0,1,2020,2,2,2
2,30,2,1,1,1,2,4,2,2,2,1,2,4,0,1,2020,2,2,1
2,24,4,1,2,2,1,0,0,0,0,0,0,0,2,1,2020,2,2,2
2,50,2,7,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,25,3,1,2,1,2,0,0,0,0,0,0,4,0,1,2020,2,1,2
2,28,3,1,1,2,2,4,2,2,2,1,2,0,0,1,2020,2,2,2
2,44,2,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,41,2,1,1,2,2,4,2,2,1,2,2,0,0,1,2020,2,2,2
2,25,2,1,2,1,2,0,0,0,0,0,0,4,0,1,2020,1,1,1
2,65,2,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
